Model,Optimizer,Loss Function,Learning Rate,Batch Size,Test Epoch,Validation Loss,Validation Accuracy,Highest Accuracy,Occurred in which Epoch
Distilbert-Base-Uncased,Adam,CrossEntropy,1e-05,64,5,"[0.6931091845035553, 0.5834758430719376, 0.4479012247174978, 0.45352681167423725, 0.6102797482162714]","[0.5125376128385155, 0.6780341023069207, 0.7803410230692076, 0.794383149448345, 0.7913741223671013]",0.794383149448345,4
Distilbert-Base-Uncased,Adam,CrossEntropy,1e-05,128,5,"[0.6939727067947388, 0.6891471371054649, 0.5799937471747398, 0.530347790569067, 0.5697997808456421]","[0.48746238716148443, 0.5315947843530592, 0.6730190571715146, 0.7251755265797393, 0.728184553660983]",0.728184553660983,5
Distilbert-Base-Uncased,Adam,CrossEntropy,1e-05,256,5,"[0.6946260333061218, 0.6948451846837997, 0.6953623294830322, 0.6864910572767258, 0.5766566842794418]","[0.4864593781344032, 0.46940822467402205, 0.485456369107322, 0.5456369107321966, 0.6860581745235708]",0.6860581745235708,5
Distilbert-Base-Uncased,Adam,CrossEntropy,1e-06,8,5,"[0.6939175448417664, 0.6950465025901794, 0.695259437084198, 0.6906992073059082, 0.5916038765907288]","[0.4663991975927783, 0.477432296890672, 0.4744232698094283, 0.5235707121364093, 0.6820461384152458]",0.6820461384152458,5
Distilbert-Base-Uncased,Adam,CrossEntropy,1e-06,16,5,"[0.6929353948623415, 0.6919123804758466, 0.6923104817905124, 0.6926711646337358, 0.6925760299440414]","[0.5075225677031093, 0.522567703109328, 0.5145436308926781, 0.5165496489468405, 0.5105315947843531]",0.522567703109328,2
Distilbert-Base-Uncased,Adam,CrossEntropy,1e-06,32,5,"[0.694331843405962, 0.694386275485158, 0.6945021394640207, 0.693984491750598, 0.6949411854147911]","[0.48144433299899697, 0.49147442326980945, 0.5045135406218656, 0.485456369107322, 0.506519558676028]",0.506519558676028,5
Distilbert-Base-Uncased,Adam,CrossEntropy,1e-06,64,5,"[0.6957191340625286, 0.6949494518339634, 0.6952452808618546, 0.6943177692592144, 0.6948552019894123]","[0.46940822467402205, 0.48244734202607825, 0.47141424272818455, 0.5155466399197592, 0.4954864593781344]",0.5155466399197592,4
Distilbert-Base-Uncased,Adam,CrossEntropy,1e-06,128,5,"[0.6950710043311119, 0.6944255232810974, 0.6944717243313789, 0.6939090564846992, 0.6940281391143799]","[0.48244734202607825, 0.4834503510531595, 0.477432296890672, 0.5015045135406219, 0.5015045135406219]",0.5015045135406219,4
Distilbert-Base-Uncased,Adam,CrossEntropy,1e-06,256,5,"[0.6949677020311356, 0.6944534480571747, 0.6941629350185394, 0.6942121386528015, 0.6939457952976227]","[0.48746238716148443, 0.48044132397191575, 0.48244734202607825, 0.4834503510531595, 0.4794383149448345]",0.48746238716148443,1
Distilbert-Base-Uncased,Adam,CrossEntropy,1e-07,8,5,"[0.6938889446258545, 0.6937478613853455, 0.69369846200943, 0.6935192546844482, 0.6934830498695373]","[0.48244734202607825, 0.4764292878635908, 0.4754262788365095, 0.49247743229689067, 0.4944834503510532]",0.4944834503510532,5
