Model,Optimizer,Loss Function,Learning Rate,Batch Size,Test Epoch,Validation Loss,Validation Accuracy,Highest Accuracy,Occurred in which Epoch
Roberta-Base,Adam,CrossEntropy,1e-05,32,5,"[0.34293242916464806, 0.28465422755107284, 0.3495859052054584, 0.539405200863257, 0.5312140335299773]","[0.839518555667001, 0.880641925777332, 0.876629889669007, 0.8605817452357071, 0.8716148445336008]",0.880641925777332,2
Roberta-Base,Adam,CrossEntropy,1e-05,64,5,"[0.6926373802125454, 0.43199396319687366, 0.32393193058669567, 0.46649338118731976, 0.4926736708730459]","[0.5305917753259779, 0.7963891675025075, 0.8635907723169508, 0.8645937813440321, 0.8625877632898696]",0.8645937813440321,4
Roberta-Base,Adam,CrossEntropy,1e-05,128,5,"[0.6921969354152679, 0.36305077001452446, 0.30173979699611664, 0.3636595904827118, 0.44718414545059204]","[0.5195586760280843, 0.8244734202607823, 0.8585757271815446, 0.8625877632898696, 0.8736208625877633]",0.8736208625877633,5
Roberta-Base,Adam,CrossEntropy,1e-05,256,5,"[0.6924422532320023, 0.6873307526111603, 0.366194486618042, 0.3148544058203697, 0.33133405447006226]","[0.5195586760280843, 0.5536609829488466, 0.8224674022066198, 0.8535606820461384, 0.8716148445336008]",0.8716148445336008,5
Roberta-Base,Adam,CrossEntropy,1e-06,8,5,"[0.6914740781784058, 0.35450420475006106, 0.3299352349638939, 0.3559926908016205, 0.4058644647747278]","[0.5406218655967904, 0.8365095285857572, 0.8515546639919759, 0.8655967903711134, 0.8605817452357071]",0.8655967903711134,4
Roberta-Base,Adam,CrossEntropy,1e-06,16,5,"[0.6924526540059892, 0.6931553899295746, 0.4353491822405467, 0.33715207780164386, 0.3235181750995772]","[0.5195586760280843, 0.5095285857572718, 0.7843530591775326, 0.8304914744232698, 0.839518555667001]",0.839518555667001,5
Roberta-Base,Adam,CrossEntropy,1e-06,32,5,"[0.69497643224895, 0.6931408327072859, 0.47201303113251925, 0.37087680492550135, 0.36386091727763414]","[0.48044132397191575, 0.5015045135406219, 0.7632898696088265, 0.8234704112337011, 0.8254764292878636]",0.8254764292878636,5
Roberta-Base,Adam,CrossEntropy,1e-06,64,5,"[0.6936749033629894, 0.6933533772826195, 0.6934686675667763, 0.6915418691933155, 0.4771998655050993]","[0.47843530591775324, 0.4794383149448345, 0.48746238716148443, 0.5386158475426279, 0.7632898696088265]",0.7632898696088265,5
Roberta-Base,Adam,CrossEntropy,1e-06,128,5,"[0.6923192515969276, 0.6923654899001122, 0.692676454782486, 0.6927988529205322, 0.6825596392154694]","[0.5195586760280843, 0.5195586760280843, 0.5235707121364093, 0.49147442326980945, 0.5255767301905717]",0.5255767301905717,5
Roberta-Base,Adam,CrossEntropy,1e-06,256,5,"[0.6934828907251358, 0.6931021511554718, 0.6930929869413376, 0.6930188685655594, 0.6929967552423477]","[0.48044132397191575, 0.5125376128385155, 0.518555667001003, 0.518555667001003, 0.522567703109328]",0.522567703109328,5
